Clave,Descripcion,PrecioPublico
10141,0980-1 DISCO HOOKIT GOLD FILM P150 3M (AMARILLO) PIEZA,16.08
10142,0981-1 DISCOS HOOKIT GOLD FILM P120 3M (AMARILLO) PIEZA,16.08
10143,0983-1 DISCO HOOKIT GOLD 6PULG GP80 PIEZA,15.78
10147,1078-1 DISCOS HOOKIT P220 PERFORADO 3M AMARILLO PIEZA,16.67
10159,0676-1 DISCO HOOKIT II P 280 PURPURA PIEZA,11.89
10176,0782-1 DISCO HOOKIT II P 100 PURPURA  (PERFORADO) PIEZA,13.26
10188,31374-1 DISCO HOOKIT CUBITRON II 282 PERF G180 PIEZA,28.04
10189,34337 HOJA ABRASIVA FLEXIBLE 5.5  X 6.8 P400 PIEZA,66.58
10190,34339 HOJA ABRASIVA FLEXIBLE 5.5 X 6.8 P600 PIEZA,66.58
10191,34340 HOJA ABRASIVA FLEXIBLE 5.5 X 6.8 P800 PIEZA,66.58
10192,34341 HOJA ABRASIVA FLEXIBLE 5.5 X 6.8 P1000 PIEZA,66.58
10193,34342 HOJA ABRASIVA FLEXIBLE 5.5 X 6.8 P1200 PIEZA,66.58
10194,34343 HOJA ABRASIVA FLEXIBLE 5.5 X 6.8 P1500 PIEZA,66.58
10195,38070-1 ARCILLA LIMPIADORA PERFECT IT III  3M PIEZA,994.82
10198,39002-500 COMPUESTO PULIDOR FINO PERFEC-IT .476,224.26
10199,39809-4 *K ABRILLANTADOR PERFECT IT  3M GALON,"4,322.31"
10202,39809-SM-250 ABRILLANTADOR PERFECT-IT 3M .250,204.34
10204,203-1 MASKING TAPE 1 PULGADA USO GENERAL 203 3M PIEZA,50.78
10205,203-1/2 MASKING TAPE 1/2 PULGADA USO GENERAL 203 3M PIEZA,25.52
10206,203-11/2 MASKING TAPE  11/2 PULGADA USO GENERAL 203 3M PIEZA,76.03
10207,203-2 MASKING TAPE 2 PULG.USO GENERAL 203 3M. PIEZA,101.57
10208,"203-3 PN 203 MASKING TAPE USO GRAL. P3"" 78 X 50 PIEZA",152.61
10209,203-3/4 MASKING TAPE 3/4 PULGADA USO GENERAL 203 3M PIEZA,38.15
10210,"2031/2-72 MASKING TAPE USO GRAL 12 X 50 M1/2"" (PAQ 72) P72","1,837.44"
10211,"2032-24 MASKING TAPE USO GRAL 024 X 50 M 2"" (PAQ 24) P24","2,437.68"
10212,"2033/4-42 MASKING TAPE USO GRAL 18 X 50 M 3/4""(PAQ 42) P42","1,602.30"
10214,2207-11/2 CINTA MASKING TAPE MULTIUSOS 1 1/2PUL .048X50M PIEZA,50.54
10216,26344-1 MASKIN TAPE 1/4 VERDE 233 3M PIEZA,48.2
10217,26332-1 MASKIN TAPE 1/2 VERDE 233 3M PIEZA,50.49
10218,26332-48 MASKIN TAPE 1/2 VERDE 233 3M P48,"2,423.52"
10219,26333-1 MASKING TAPE .015  5/8PULG ANCHO 233 3M PIEZA,46.6
10220,26334-1 MASKIN TAPE 3/4 VERDE 233 3M PIEZA,75.74
10221,26334-48 MASKIN TAPE 3/4 VERDE 233 3M P48,"3,635.52"
10222,26336-1 MASKING TAPE VERDE 1P M 233 PIEZA,100.99
10223,26338-1 MASKIN TAPE 11/2 VERDE 233 3M PIEZA,147.2
10224,26340-1 MASKIN TAPE 2 VERDE 233 3M PIEZA,203.13
10227,"DSC 6537-1 PAPEL P/ ENMASCARAR BCO PREMIUM,.15X228.6MTS. PIEZA",345.27
10228,"DSC 6538-1 PAPEL P/ ENMASCARAR BCO PREM,.30X228.6MTS. PIEZA",663.98
10230,"DSC 6539-1 PAPEL P/ ENMASCARAR BCO PREM,.45X228.6MTS. PIEZA",969.41
10231,6539E-1 PAPEL ECONOMICO .45 X 228.6M ROLLO,488.26
10232,"DSC 6540-1 PAPEL P/ ENMASCARAR BCO PREM,.91X228.6MTS. PIEZA","1,991.95"
10233,6540E-1 PAPEL ECONOMICO .90 X 228.6M ROLLO,"1,013.24"
